id;institution_type;title_uz;title_ru;title_kr;content_uz;content_ru;content_kr;logo_name;logo_data
1;KOREANUNIVERSITY;Mobility payment Hat;interactive;matrices;transmitter grow;Kansas XML Point;compress Practical;Cotton;Vision-oriented Borders black
2;COLLEGEANDLYCEUM;communities deposit payment;Louisiana;heuristic;Colorado Alabama;Practical wireless;SCSI;Direct Polarised;Computer Viaduct Faroe
3;UZBEKISTANUNIVERSITY;Chips;Chief AGP Baby;Sports Michigan HDD;Granite Steel;platforms;reboot;Bedfordshire;deposit Accounts
4;SCHOOL;Rubber;SQL;Principal New;Account matrix Gorgeous;navigating Bedfordshire Zambia;functionalities yellow;payment navigate Borders;National
5;UZBEKISTANUNIVERSITY;Director;Refined;Fish parse drive;Regional maroon;Bedfordshire Facilitator Customizable;best-of-breed Avon Developer;Dynamic bypass alliance;Account
6;SCHOOL;Tugrik Idaho Tasty;Zambia multi-tasking Unbranded;Gorgeous;Silver Card Assimilated;24/365 Marketing;aggregate complexity Architect;solid;Internal
7;UZBEKISTANUNIVERSITY;Plastic;Cordoba;uniform;green Credit;blue help-desk lavender;New SDR;Idaho orchid;Pants
8;UZBEKISTANUNIVERSITY;ivory;repurpose Handmade Account;HTTP Accountability eyeballs;Sports drive Bridge;Hat;Fish;Games generating;olive
9;KOREANUNIVERSITY;blockchains;Harbors Chips Handcrafted;Frozen Books Meadow;Outdoors;Executive deposit;Hat;engine multi-byte Division;Lodge Chips Savings
10;UZBEKISTANUNIVERSITY;payment;JBOD Agent Implementation;drive Naira Texas;background;AI 1080p Unbranded;Dinar;Maldives;Iowa redundant
