id;title_uz;title_ru;title_kr;content_uz;content_ru;content_kr;plan_type
1;compressing Account Kina;didactic;local;matrix SSL;alarm Manors;invoice program Account;YEAR
2;back-end;Intelligent Granite;Licensed connect;Books Kansas Buckinghamshire;matrix up Gloves;indexing;MONTH
3;hack neural Wooden;project;global program TCP;Gambia;Borders;deposit;MONTH
4;value-added Glens Meadows;program;invoice Rubber contextually-based;matrices;Persistent;Home THX;YEAR
5;initiative exploit Fully-configurable;task-force Via;Table Customer Pizza;Planner Plastic Coordinator;AI Keyboard Electronics;indexing;MONTH
6;architecture wireless;firewall Buckinghamshire;Innovative Personal;feed hacking focus;Designer;Metal middleware;MONTH
7;Parkways indigo exploit;syndicate systematic;e-tailers National;Home Functionality Mobility;Orchestrator;Salad Kansas;MONTH
8;auxiliary GB Forward;Factors auxiliary;Leu Organic;Cambridgeshire Tactics up;one-to-one;XML;YEAR
9;transmitting;e-tailers;View back;Assurance COM Manager;Direct quantify;portals;YEAR
10;Pizza Customer deposit;Games haptic Route;Granite Legacy;Loan XSS;Games Hat;SSL;YEAR
