id;question_uz;question_ru;question_kr;answer_uz;answer_ru;answer_kr
1;Handcrafted;1080p;intelligence navigating lavender;seamless navigating;Developer Soap;Paradigm
2;Executive;Avon Dollar programming;microchip;Home;Refined function;transparent functionalities Director
3;Dong Practical Home;Washington Web;Italy web;e-business PNG Engineer;Garden leverage;Frozen
4;Architect Front-line;Reduced Loan;strategic;multimedia;Pants US;well-modulated Central Producer
5;partnerships digital Iowa;attitude-oriented bypass;application Rustic;Human;turquoise Concrete;wireless sensor Music
6;Somoni Shoes Architect;Avon;Officer Steel;groupware microchip leverage;Awesome reboot;Islands SAS withdrawal
7;multimedia Loan;Configuration Enhanced;Cotton;Tactics;encoding;Liaison
8;e-services Concrete Optimized;Communications Specialist moderator;Investor;Fantastic Toys;technologies e-tailers;Fantastic
9;Account West Rubber;Junctions fuchsia;Investment Baht;Networked;Corners;Rustic Research
10;turquoise;Wooden pink;system purple virtual;driver compressing backing;Myanmar;responsive
